codigo_snies,nombre_programa,tipo_cubrimiento,departamento,municipio,nombre_institucion,codigo_institucion
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Risaralda,Pereira,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Risaralda,Pereira,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,1111
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Tolima,Ibagué,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Tolima,Ibagué,UNIVERSIDAD DEL TOLIMA,1207
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Atlántico,Barranquilla,UNIVERSIDAD DEL ATLANTICO,1202
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Bolívar,Cartagena de Indias,UNIVERSIDAD DE CARTAGENA,1205
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Boyacá,Tunja,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Cauca,Popayán,UNIVERSIDAD DEL CAUCA,1110
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Magdalena,Santa Marta,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,1213
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Nariño,Pasto,UNIVERSIDAD DE NARIÑO,1206
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Quindío,Armenia,UNIVERSIDAD DEL QUINDIO,1208
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Risaralda,Pereira,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,1111
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenios en red,Tolima,Ibagué,UNIVERSIDAD DEL TOLIMA,1207
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Principal,Boyacá,Tunja,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7230,ESPECIALIZACION EN DISEÑO Y EVALUACION DE PROYECTOS,Convenio,Cesar,Valledupar,UNIVERSIDAD DEL NORTE,1713
7230,ESPECIALIZACION EN DISEÑO Y EVALUACION DE PROYECTOS,Convenio,Cesar,Valledupar,UNIVERSIDAD POPULAR DEL CESAR,1120
7230,ESPECIALIZACION EN DISEÑO Y EVALUACION DE PROYECTOS,Principal,Cesar,Valledupar,UNIVERSIDAD DEL NORTE,1713
7311,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,Nariño,Pasto,UNIVERSIDAD CES,2708
7311,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,Nariño,Pasto,UNIVERSIDAD MARIANA,1720
7311,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Principal,Nariño,Pasto,UNIVERSIDAD CES,2708
7312,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD SOCIAL,Convenio,Santander,Bucaramanga,UNIVERSIDAD CES,2708
7312,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD SOCIAL,Convenio,Santander,Bucaramanga,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
7312,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD SOCIAL,Principal,Santander,Bucaramanga,UNIVERSIDAD CES,2708
7315,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,Santander,Bucaramanga,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
7315,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,Santander,Bucaramanga,UNIVERSIDAD CES,2708
7315,ESPECIALIZACION EN AUDITORIA EN SALUD,Principal,Santander,Bucaramanga,UNIVERSIDAD CES,2708
7732,ESPECIALIZACION EN GERENCIA Y AUDITORIA DE LA CALIDAD DE LA SALUD,Convenio,Nariño,Pasto,UNIVERSIDAD DE NARIÑO,1206
7732,ESPECIALIZACION EN GERENCIA Y AUDITORIA DE LA CALIDAD DE LA SALUD,Convenio,Nariño,Pasto,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
